,country,points
0,Albania,88.0
1,Argentina,86.0
2,Australia,87.88
3,Austria,89.19
4,Bosnia and Herzegovina,84.75
5,Brazil,83.24
6,Bulgaria,85.47
7,Canada,88.22
8,Chile,86.3
9,China,82.0
10,Croatia,86.49
11,Cyprus,85.87
12,Czech Republic,85.83
13,England,92.75
14,France,88.6
15,Georgia,85.51
16,Germany,88.61
17,Greece,86.1
18,Hungary,87.3
19,India,87.62
20,Israel,87.16
21,Italy,88.45
22,Japan,85.0
23,Lebanon,85.7
24,Lithuania,84.25
25,Luxembourg,87.0
26,Macedonia,84.81
27,Mexico,84.76
28,Moldova,84.72
29,Montenegro,82.0
30,Morocco,88.17
31,New Zealand,87.54
32,Portugal,88.18
33,Romania,84.92
34,Serbia,87.71
35,Slovakia,83.67
36,Slovenia,88.17
37,South Africa,87.21
38,South Korea,81.5
39,Spain,86.64
40,Switzerland,87.25
41,Turkey,88.14
42,US-France,88.0
43,Ukraine,84.6
44,United States,87.82
45,Uruguay,84.54
