,country,points
0,Albania,2
1,Argentina,5587
2,Australia,4894
3,Austria,2483
4,Bosnia and Herzegovina,4
5,Brazil,25
6,Bulgaria,77
7,Canada,194
8,Chile,5766
9,China,3
10,Croatia,83
11,Cyprus,31
12,Czech Republic,6
13,England,8
14,France,14785
15,Georgia,43
16,Germany,2347
17,Greece,872
18,Hungary,230
19,India,8
20,Israel,610
21,Italy,18784
22,Japan,2
23,Lebanon,37
24,Lithuania,8
25,Luxembourg,9
26,Macedonia,16
27,Mexico,63
28,Moldova,71
29,Montenegro,2
30,Morocco,12
31,New Zealand,3070
32,Portugal,4176
33,Romania,139
34,Serbia,14
35,Slovakia,3
36,Slovenia,81
37,South Africa,2237
38,South Korea,4
39,Spain,8160
40,Switzerland,4
41,Turkey,50
42,US-France,1
43,Ukraine,5
44,United States,62139
45,Uruguay,85
